Date,Year,Time,Day_of_Week,Barangay,Latitude,Longitude,Weather,Crime_Type,Crime_Cause,Severity,Arrests,Response_Time,Incident_Duration
22/04/2025,2025,18:50,Saturday,San Rafael (Buluburan),14.090647,121.311487,Cloudy,Robbery,Opportunistic,Medium,2,19,93
01/02/2023,2023,9:38,Saturday,Santa Veronica (Bae),14.052603,121.360097,Stormy,Robbery,Alcohol,Low,2,15,95
08/10/2022,2022,2:15,Thursday,Concepcion (Bunot),14.067738,121.358922,Sunny,Burglary,Unemployment,Medium,1,20,75
07/12/2024,2024,8:17,Monday,San Mateo (Imok),14.043189,121.336113,Stormy,Theft,Drugs,Low,1,17,76
21/08/2020,2020,4:51,Sunday,San Bartolome (Matang-ag),14.087288,121.272046,Cloudy,Theft,Poverty,Low,3,26,91
26/12/2020,2020,8:53,Sunday,VI-A (Mavenida),14.097108,121.286434,Foggy,Assault,Mental Health,High,0,11,83
29/11/2022,2022,17:20,Sunday,Santiago II (Bulaho),14.03018,121.340856,Sunny,Burglary,Gang Activity,High,3,24,23
08/03/2021,2021,0:59,Monday,San Gregorio,14.067231,121.351171,Rainy,Theft,Mental Health,High,3,13,56
11/10/2020,2020,0:47,Friday,San Jose (Malamig),14.06966,121.361401,Foggy,Vandalism,Other,Low,0,26,63
11/03/2024,2024,6:58,Thursday,III-E,14.012978,121.273238,Rainy,Robbery,Gang Activity,Low,1,21,68
31/08/2020,2020,22:22,Tuesday,II-B (Guadalupe 1),14.067608,121.280651,Stormy,Other,Other,Low,2,22,55
25/11/2024,2024,21:00,Monday,San Lucas 2 (Malinaw),14.058777,121.347181,Rainy,Theft,Other,High,1,20,63
03/06/2022,2022,19:50,Wednesday,III-B,14.094971,121.350909,Sunny,Vandalism,Mental Health,High,2,14,103
07/01/2022,2022,19:50,Wednesday,San Nicolas (Mag-ampon),14.071004,121.348745,Cloudy,Robbery,Gang Activity,Low,3,15,59
19/06/2020,2020,12:31,Sunday,VII-B,14.069748,121.270692,Stormy,Drug-Related,Poverty,Low,3,18,81
22/01/2021,2021,0:04,Saturday,Atisan,14.10569,121.304558,Foggy,Fraud,Alcohol,Medium,3,24,20
11/05/2022,2022,3:24,Friday,Santa Maria Magdalena (Boe / Kuba),14.044016,121.34758,Rainy,Vandalism,Personal Dispute,Medium,0,25,28
25/06/2024,2024,11:54,Wednesday,San Gregorio,14.088364,121.363431,Foggy,Drug-Related,Personal Dispute,High,2,14,61
30/08/2025,2025,1:53,Monday,San Francisco (Calihan),14.05472,121.313803,Sunny,Drug-Related,Other,High,1,13,86
22/05/2020,2020,23:53,Monday,VI-E (YMCA),14.052584,121.338681,Foggy,Vandalism,Poverty,High,2,30,120
06/03/2025,2025,20:51,Monday,Santa Elena,14.070901,121.296839,Rainy,Harassment,Gang Activity,Medium,2,22,31
03/11/2023,2023,4:31,Saturday,Concepcion (Bunot),14.024705,121.327688,Rainy,Robbery,Poverty,High,0,29,55
07/06/2022,2022,10:49,Tuesday,II-E (San Anton),14.075789,121.32156,Sunny,Other,Domestic Issue,High,0,22,66
03/07/2024,2024,10:33,Thursday,San Lucas 1 (Malinaw),14.101256,121.357036,Rainy,Vandalism,Domestic Issue,Medium,3,11,112
24/05/2021,2021,15:30,Saturday,San Isidro (Balagbag),14.099879,121.283402,Sunny,Assault,Personal Dispute,High,2,30,113
09/09/2021,2021,18:50,Thursday,Santa Veronica (Bae),14.079637,121.283804,Stormy,Vandalism,Other,Medium,2,6,67
19/12/2024,2024,19:18,Saturday,VII-D,14.012357,121.286255,Stormy,Drug-Related,Drugs,Medium,2,28,74
21/06/2021,2021,12:02,Saturday,San Nicolas (Mag-ampon),14.084659,121.319511,Foggy,Domestic Violence,Drugs,High,2,23,79
16/11/2020,2020,5:49,Tuesday,II-C (Unson),14.027154,121.357507,Cloudy,Domestic Violence,Drugs,High,3,13,98
25/05/2025,2025,9:20,Wednesday,Santo Cristo,14.102753,121.299048,Foggy,Other,Opportunistic,High,0,22,110
30/08/2020,2020,0:35,Saturday,Santo Angel (Ilog),14.069753,121.347487,Foggy,Theft,Drugs,Medium,1,24,44
03/03/2020,2020,11:37,Friday,III-F (Balagtas),14.037386,121.305847,Stormy,Fraud,Drugs,Low,0,7,48
10/01/2022,2022,13:10,Friday,V-C,14.050293,121.277087,Stormy,Assault,Alcohol,Medium,1,28,22
06/06/2022,2022,10:07,Friday,San Miguel (Balatuin),14.0794,121.343581,Stormy,Vandalism,Domestic Issue,High,0,27,118
19/07/2021,2021,18:13,Sunday,VII-B,14.04023,121.321645,Foggy,Harassment,Gang Activity,Medium,0,17,101
30/10/2024,2024,0:06,Wednesday,I-C (Bagong Bayan),14.079284,121.344875,Sunny,Harassment,Unemployment,High,2,29,44
10/10/2025,2025,23:47,Tuesday,Atisan,14.029372,121.308829,Rainy,Domestic Violence,Domestic Issue,Medium,1,11,70
27/05/2025,2025,2:09,Thursday,II-E (San Anton),14.034044,121.339236,Foggy,Robbery,Alcohol,High,1,25,89
15/05/2020,2020,16:40,Tuesday,I-B (City Sub Riverside),14.063905,121.312664,Stormy,Fraud,Opportunistic,High,0,16,30
02/01/2023,2023,9:11,Thursday,III-C (Labak/De Roma),14.094501,121.279686,Sunny,Vandalism,Unemployment,High,1,14,96
19/02/2022,2022,7:00,Friday,San Bartolome (Matang-ag),14.072627,121.306335,Rainy,Assault,Gang Activity,Medium,0,9,88
02/12/2020,2020,16:30,Saturday,Atisan,14.021678,121.337861,Stormy,Vandalism,Unemployment,Medium,0,21,78
07/11/2023,2023,15:58,Thursday,II-B (Guadalupe 1),14.020274,121.293788,Cloudy,Robbery,Gang Activity,Medium,3,5,50
01/07/2023,2023,7:35,Thursday,San Bartolome (Matang-ag),14.070139,121.336107,Cloudy,Drug-Related,Personal Dispute,High,2,8,91
22/08/2024,2024,8:04,Monday,Santa Veronica (Bae),14.021494,121.281775,Foggy,Fraud,Unemployment,High,2,18,22
16/04/2021,2021,3:11,Tuesday,IV-C,14.032925,121.350516,Foggy,Robbery,Personal Dispute,Low,1,28,54
13/03/2024,2024,3:35,Monday,San Jose (Malamig),14.026353,121.318603,Sunny,Harassment,Personal Dispute,High,3,10,12
20/01/2024,2024,5:55,Sunday,Bautista,14.038069,121.279407,Stormy,Other,Gang Activity,High,2,14,10
04/10/2021,2021,14:18,Thursday,San Jose (Malamig),14.016805,121.276778,Rainy,Fraud,Gang Activity,Low,3,26,19
14/02/2025,2025,1:29,Monday,III-C (Labak/De Roma),14.084602,121.324017,Foggy,Burglary,Drugs,High,3,14,96
20/12/2020,2020,0:25,Friday,San Crispin (Lumbangan),14.017754,121.280271,Rainy,Burglary,Domestic Issue,Low,2,7,89
10/06/2024,2024,20:30,Tuesday,San Rafael (Buluburan),14.035134,121.350691,Cloudy,Other,Mental Health,Medium,0,13,120
08/08/2020,2020,1:29,Sunday,Santa Elena,14.031721,121.361138,Rainy,Domestic Violence,Mental Health,Medium,1,21,48
23/09/2021,2021,17:51,Tuesday,Dolores,14.086588,121.366905,Foggy,Harassment,Mental Health,Low,3,30,105
26/11/2021,2021,23:41,Tuesday,San Mateo (Imok),14.045771,121.301419,Foggy,Harassment,Domestic Issue,Medium,0,7,23
20/08/2025,2025,7:48,Wednesday,San Joaquin,14.033518,121.287103,Rainy,Theft,Drugs,Medium,0,26,82
02/03/2021,2021,7:20,Saturday,San Isidro (Balagbag),14.095102,121.274795,Cloudy,Vandalism,Personal Dispute,Medium,1,9,87
29/04/2021,2021,16:26,Monday,San Gregorio,14.06068,121.366794,Stormy,Burglary,Gang Activity,Medium,2,17,62
30/04/2022,2022,23:33,Friday,San Ignacio,14.083842,121.281036,Rainy,Fraud,Personal Dispute,High,0,10,50
13/06/2024,2024,6:03,Sunday,Santiago I (Bulaho),14.052686,121.277303,Cloudy,Assault,Personal Dispute,Medium,1,5,18
18/04/2021,2021,0:37,Tuesday,San Diego (Tiim),14.016552,121.321592,Foggy,Robbery,Alcohol,Medium,3,10,47
01/01/2023,2023,6:18,Wednesday,Santo Angel (Ilog),14.083248,121.31106,Rainy,Robbery,Poverty,High,0,20,23
20/09/2022,2022,3:30,Tuesday,V-A,14.04859,121.28333,Cloudy,Other,Poverty,Low,0,25,78
13/05/2023,2023,5:56,Thursday,San Roque (Sambat),14.034676,121.296586,Sunny,Other,Opportunistic,Low,2,29,78
08/02/2022,2022,22:02,Thursday,San Lucas 1 (Malinaw),14.014841,121.28473,Sunny,Assault,Mental Health,High,1,12,57
01/11/2023,2023,22:06,Wednesday,Santo Angel (Ilog),14.078718,121.333522,Cloudy,Robbery,Other,High,2,21,82
22/10/2023,2023,19:53,Monday,San Gabriel (Butucan),14.063795,121.316491,Rainy,Harassment,Drugs,High,0,19,99
05/11/2020,2020,23:42,Sunday,II-E (San Anton),14.076233,121.351397,Foggy,Harassment,Alcohol,Low,3,15,42
23/06/2021,2021,8:47,Tuesday,San Roque (Sambat),14.043422,121.342445,Foggy,Vandalism,Gang Activity,Medium,3,13,34
25/01/2023,2023,12:10,Friday,Santa Catalina (Sandig),14.094674,121.355954,Cloudy,Domestic Violence,Domestic Issue,Low,3,15,69
01/04/2025,2025,16:51,Tuesday,San Bartolome (Matang-ag),14.050368,121.301063,Cloudy,Other,Unemployment,High,2,7,11
07/09/2021,2021,12:38,Wednesday,III-C (Labak/De Roma),14.015435,121.320843,Cloudy,Domestic Violence,Personal Dispute,Low,2,29,92
18/08/2025,2025,23:02,Sunday,VII-E,14.081681,121.282565,Rainy,Fraud,Opportunistic,Low,3,25,39
23/10/2024,2024,9:43,Thursday,III-B,14.088115,121.274215,Rainy,Vandalism,Domestic Issue,High,3,6,114
25/11/2022,2022,3:36,Monday,San Vicente,14.073631,121.333368,Cloudy,Theft,Mental Health,High,0,6,98
19/01/2022,2022,7:29,Sunday,San Vicente,14.082168,121.358971,Sunny,Vandalism,Gang Activity,High,1,16,120
08/05/2021,2021,10:12,Wednesday,San Lorenzo (Saluyan),14.076209,121.290176,Cloudy,Burglary,Alcohol,Low,0,12,94
11/09/2023,2023,1:50,Saturday,V-C,14.012415,121.303014,Foggy,Harassment,Mental Health,Low,3,15,95
19/03/2020,2020,18:29,Sunday,Santa Cruz (Putol),14.071187,121.298455,Sunny,Other,Other,High,2,5,34
29/05/2025,2025,15:47,Friday,V-D,14.096008,121.289603,Rainy,Fraud,Mental Health,Low,0,13,109
09/02/2022,2022,18:06,Wednesday,Santa Ana,14.097355,121.281127,Stormy,Vandalism,Alcohol,Medium,0,9,119
16/06/2021,2021,7:28,Monday,Santa Isabel,14.021133,121.33188,Stormy,Burglary,Alcohol,High,3,29,97
09/05/2020,2020,13:30,Thursday,III-E,14.109492,121.321384,Foggy,Fraud,Personal Dispute,High,3,5,110
02/12/2022,2022,13:56,Thursday,II-C (Unson),14.050122,121.315451,Cloudy,Assault,Mental Health,High,0,9,31
17/04/2025,2025,21:57,Tuesday,VII-C,14.027531,121.329443,Foggy,Fraud,Gang Activity,High,2,11,62
10/05/2025,2025,8:07,Friday,III-B,14.107003,121.280721,Cloudy,Harassment,Poverty,Low,3,7,57
20/06/2023,2023,11:12,Saturday,San Lucas 2 (Malinaw),14.10127,121.275893,Stormy,Theft,Domestic Issue,Medium,1,21,10
14/07/2021,2021,23:35,Sunday,Bautista,14.011267,121.273254,Cloudy,Harassment,Other,Medium,0,7,83
20/02/2024,2024,17:20,Thursday,Santiago I (Bulaho),14.03189,121.351954,Rainy,Harassment,Gang Activity,Low,1,18,75
23/09/2021,2021,15:44,Friday,Santa Maria Magdalena (Boe / Kuba),14.10385,121.33609,Stormy,Vandalism,Gang Activity,High,1,13,26
05/10/2021,2021,13:47,Monday,Santa Maria,14.053012,121.322285,Rainy,Burglary,Other,High,1,28,91
06/08/2025,2025,17:43,Thursday,Bautista,14.102769,121.342108,Cloudy,Other,Alcohol,Low,0,6,43
19/04/2024,2024,15:01,Tuesday,Dolores,14.070685,121.339896,Cloudy,Assault,Mental Health,High,3,26,109
08/06/2020,2020,16:53,Sunday,Concepcion (Bunot),14.039218,121.349106,Stormy,Vandalism,Unemployment,Low,2,27,87
29/12/2025,2025,12:17,Friday,II-D (Bulante),14.109831,121.339701,Stormy,Robbery,Alcohol,High,3,8,80
12/06/2022,2022,8:37,Thursday,San Lucas 2 (Malinaw),14.072751,121.344171,Stormy,Burglary,Alcohol,High,2,10,78
14/12/2021,2021,12:06,Friday,Santa Cruz (Putol),14.072979,121.317096,Stormy,Robbery,Opportunistic,Medium,2,30,14
05/06/2023,2023,21:32,Saturday,III-F (Balagtas),14.084981,121.28131,Sunny,Burglary,Other,Low,1,18,94
17/09/2021,2021,10:19,Wednesday,V-B,14.07236,121.354178,Foggy,Fraud,Gang Activity,High,2,26,38
23/10/2021,2021,18:39,Tuesday,Soledad (Macopa),14.031003,121.300626,Cloudy,Domestic Violence,Personal Dispute,High,2,21,11
21/03/2024,2024,9:15,Thursday,Santo Cristo,14.089166,121.301627,Sunny,Robbery,Mental Health,Medium,1,26,87
16/04/2022,2022,6:33,Monday,V-A,14.032224,121.349372,Stormy,Fraud,Other,High,2,9,65
30/03/2020,2020,22:27,Saturday,San Marcos (Tikew),14.015562,121.345685,Sunny,Domestic Violence,Mental Health,Low,3,28,66
15/02/2022,2022,6:52,Wednesday,VII-B,14.042946,121.277667,Foggy,Harassment,Opportunistic,Low,2,28,50
08/02/2021,2021,9:28,Thursday,II-B (Guadalupe 1),14.108767,121.295378,Stormy,Vandalism,Other,High,1,24,11
13/04/2020,2020,16:50,Monday,Santa Monica,14.077459,121.347827,Rainy,Vandalism,Personal Dispute,Low,0,19,102
24/11/2022,2022,4:17,Monday,II-C (Unson),14.023887,121.279794,Stormy,Robbery,Other,Medium,3,9,46
29/01/2024,2024,16:43,Friday,San Gabriel (Butucan),14.049048,121.32993,Cloudy,Other,Alcohol,High,3,30,111
23/08/2025,2025,0:04,Wednesday,IV-C,14.082446,121.333358,Stormy,Harassment,Mental Health,Medium,3,21,70
25/01/2024,2024,7:36,Wednesday,San Mateo (Imok),14.077261,121.272482,Foggy,Vandalism,Personal Dispute,Medium,3,13,107
07/07/2023,2023,0:03,Tuesday,Santa Maria,14.019085,121.360033,Cloudy,Robbery,Unemployment,High,0,28,71
01/07/2021,2021,16:04,Monday,Santa Isabel,14.042762,121.340501,Sunny,Theft,Unemployment,Low,3,23,118
22/03/2021,2021,19:03,Wednesday,II-E (San Anton),14.089233,121.36752,Foggy,Domestic Violence,Domestic Issue,Low,2,15,95
08/04/2020,2020,17:36,Thursday,II-C (Unson),14.102799,121.28884,Foggy,Drug-Related,Alcohol,High,1,9,104
21/03/2024,2024,0:27,Friday,San Ignacio,14.083895,121.312427,Cloudy,Harassment,Domestic Issue,Medium,0,16,69
05/10/2023,2023,1:52,Monday,IV-C,14.05868,121.35685,Rainy,Drug-Related,Domestic Issue,Low,2,12,15
04/12/2024,2024,3:11,Sunday,III-E,14.100457,121.353406,Sunny,Drug-Related,Opportunistic,High,2,22,56
30/04/2024,2024,22:50,Saturday,Santo Angel (Ilog),14.079855,121.366193,Rainy,Burglary,Opportunistic,Low,3,5,48
25/11/2020,2020,7:45,Wednesday,Santa Elena,14.028892,121.361,Cloudy,Drug-Related,Opportunistic,Low,0,30,30
25/06/2022,2022,22:53,Saturday,Santa Elena,14.08296,121.312245,Cloudy,Drug-Related,Mental Health,High,1,14,40
19/04/2024,2024,7:15,Friday,III-E,14.048872,121.340092,Sunny,Vandalism,Personal Dispute,High,3,11,86
26/08/2023,2023,3:32,Saturday,III-F (Balagtas),14.109633,121.357521,Sunny,Robbery,Opportunistic,High,0,9,110
02/08/2025,2025,1:44,Friday,San Crispin (Lumbangan),14.033035,121.312171,Rainy,Burglary,Unemployment,High,0,20,92
13/07/2020,2020,5:43,Sunday,V-D,14.10233,121.292917,Sunny,Fraud,Mental Health,High,0,25,24
14/08/2020,2020,8:47,Monday,Bautista,14.054699,121.364227,Cloudy,Theft,Drugs,Low,0,12,40
27/10/2025,2025,21:44,Sunday,VI-C (Bagong Pook),14.106171,121.304411,Sunny,Domestic Violence,Alcohol,Low,2,9,45
23/03/2025,2025,21:07,Wednesday,Santa Catalina (Sandig),14.068054,121.326125,Stormy,Robbery,Alcohol,Low,0,11,37
05/10/2020,2020,23:16,Wednesday,San Lorenzo (Saluyan),14.095887,121.324812,Stormy,Other,Alcohol,Medium,0,18,13
02/05/2023,2023,21:51,Wednesday,Santa Monica,14.037781,121.335682,Sunny,Fraud,Personal Dispute,Low,0,23,111
17/01/2024,2024,15:49,Friday,II-D (Bulante),14.036986,121.297869,Cloudy,Robbery,Opportunistic,High,0,17,67
08/11/2024,2024,9:57,Monday,San Isidro (Balagbag),14.073557,121.290423,Foggy,Robbery,Domestic Issue,High,3,9,30
13/01/2022,2022,23:05,Sunday,III-E,14.034988,121.283422,Rainy,Assault,Drugs,Low,3,10,20
30/06/2022,2022,22:08,Friday,San Cristobal,14.028306,121.295981,Rainy,Fraud,Drugs,Low,3,25,95
17/10/2022,2022,18:25,Friday,San Gabriel (Butucan),14.054692,121.313238,Foggy,Fraud,Drugs,High,0,13,76
23/06/2021,2021,1:25,Monday,San Francisco (Calihan),14.042387,121.294056,Cloudy,Domestic Violence,Poverty,High,3,12,10
17/03/2021,2021,4:21,Sunday,Dolores,14.109053,121.326866,Cloudy,Theft,Unemployment,Low,1,16,56
01/09/2023,2023,5:58,Saturday,San Antonio 1 (Balanga),14.0553,121.36541,Rainy,Drug-Related,Personal Dispute,Medium,2,19,114
17/09/2024,2024,14:34,Friday,San Antonio 1 (Balanga),14.036306,121.363064,Sunny,Burglary,Unemployment,Medium,3,7,23
11/01/2022,2022,22:09,Tuesday,II-E (San Anton),14.081076,121.279406,Foggy,Domestic Violence,Mental Health,Medium,0,6,98
05/05/2023,2023,9:26,Monday,Santa Monica,14.038274,121.301851,Stormy,Drug-Related,Personal Dispute,Low,2,11,115
11/06/2025,2025,17:16,Saturday,I-B (City Sub Riverside),14.039673,121.327842,Rainy,Harassment,Personal Dispute,Low,3,7,45
15/08/2025,2025,4:18,Sunday,VII-C,14.052148,121.301814,Foggy,Domestic Violence,Personal Dispute,Medium,2,19,28
04/02/2025,2025,8:57,Sunday,Santa Cruz (Putol),14.093059,121.365617,Foggy,Domestic Violence,Drugs,High,0,5,79
12/09/2022,2022,6:34,Saturday,IV-A,14.033686,121.348474,Foggy,Vandalism,Unemployment,High,0,8,30
18/12/2024,2024,13:53,Monday,San Crispin (Lumbangan),14.078702,121.359535,Foggy,Drug-Related,Alcohol,High,2,8,119
31/03/2021,2021,23:52,Thursday,San Gabriel (Butucan),14.062814,121.355184,Stormy,Harassment,Mental Health,Medium,2,24,63
13/01/2023,2023,20:34,Monday,VII-A (P.Alcantara),14.038219,121.305271,Stormy,Robbery,Domestic Issue,Low,0,23,68
23/02/2023,2023,14:09,Saturday,III-F (Balagtas),14.012588,121.346425,Foggy,Robbery,Domestic Issue,High,0,28,72
20/07/2024,2024,11:07,Sunday,IV-A,14.052134,121.296411,Rainy,Harassment,Unemployment,Medium,3,20,60
22/08/2020,2020,13:53,Tuesday,II-A (Triangulo/ Guadalupe 2),14.093687,121.300015,Sunny,Theft,Domestic Issue,Medium,1,25,94
14/11/2025,2025,3:21,Tuesday,Santo Angel (Ilog),14.098158,121.288562,Cloudy,Fraud,Personal Dispute,High,0,8,16
26/10/2022,2022,9:45,Saturday,San Nicolas (Mag-ampon),14.0549,121.326851,Rainy,Drug-Related,Other,High,3,10,53
19/10/2020,2020,2:07,Sunday,I-C (Bagong Bayan),14.0261,121.359662,Stormy,Drug-Related,Personal Dispute,Low,2,16,35
29/06/2025,2025,2:16,Sunday,III-C (Labak/De Roma),14.042251,121.308172,Sunny,Robbery,Other,High,2,8,45
01/03/2025,2025,12:54,Sunday,III-B,14.097338,121.350795,Foggy,Robbery,Opportunistic,Low,1,7,96
19/05/2023,2023,2:12,Friday,Santa Elena,14.046869,121.308816,Rainy,Domestic Violence,Unemployment,Low,0,23,114
09/08/2020,2020,9:33,Sunday,San Joaquin,14.10204,121.356221,Cloudy,Fraud,Other,Medium,0,29,96
25/02/2025,2025,18:39,Saturday,Santo Cristo,14.061779,121.31097,Rainy,Other,Poverty,Low,3,17,66
03/02/2022,2022,8:13,Monday,II-E (San Anton),14.052141,121.339989,Stormy,Assault,Gang Activity,Medium,1,18,42
